ID RSSD,Name of Bank,Average Assets (in Bn.) ,Net Income(in Mn.)
316840,REPUBLIC BANK & TRUST COMPANY,0.003458476,0.019237
361167,SOUTHSIDE BANK,0.003452702,0.020457
416245,BUSEY BANK,0.003442572,0.01535
3445769,FIRST NBC BANK,0.003438418,0.026045
1011526,CITY NATIONAL BANK OF WEST VIRGINIA,0.003376303,0.026276
770367,COMMUNITY BANK,0.003374273,0.012852
1407932,FULTON BANK OF NEW JERSEY,0.003370595,0.012175
850036,FIRST AMERICAN BANK,0.003365747,0.014689
1908082,BANK OF NORTH CAROLINA,0.003339252,0.013812
687009,LAKELAND BANK,0.003333696,0.016073
782306,BROOKLINE BANK,0.003316202,0.0149
936462,MECHANICS BANK,0.003302166,0.007891
1929247,"CENTERSTATE BANK OF FLORIDA, NATIONAL ASSOCIATION",0.003288986,0.003455
663834,OCEAN BANK,0.003265552,0.013805
667757,COMMUNITY TRUST BANK,0.003259849,0.012805
874845,LAKE CITY BANK,0.00324196,0.021931
216922,FIRST BANK,0.003217367,0.013528
816603,"WASHINGTON TRUST COMPANY OF WESTERLY, THE",0.003182619,0.019504
114260,FIRST NATIONAL BANK ALASKA,0.003125772,0.01585
3202702,"OPTUM BANK, INC.",0.003114108,0.031419
2683014,CARDINAL BANK,0.003088852,0.01515
1190476,ENTERPRISE BANK & TRUST,0.003087355,0.015037
657365,HANMI BANK,0.002998985,0.023872
436711,"HUDSON VALLEY BANK, N.A.",0.002994244,0.00383
3967449,COMMUNITY & SOUTHERN BANK,0.002920223,0.001195
2265456,"WILMINGTON TRUST, NATIONAL ASSOCIATION",0.002815986,0.00616
